Div,Date,HomeTeam,AwayTeam,HTR,HTTeam,HTPoints,HTWins,HTDraws,HTLooses,HTHomeWins,HTHomeDraws,HTHomeLooses,HTAwayWins,HTAwayDraws,HTAwayLooses,HTGoals,HTGoalsAgainst,HTHomeGoals,HTAwayGoals,HTHomeGoalsAgainst,HTAwayGoalsAgainst,HTPosition,HTShoots,HTShootsAgainst,HTHomeShoots,HTAwayShoots,HTHomeShootsAgainst,HTAwayShootsAgainst,HTShootsOnTarget,HTShootsAgainstOnTarget,HTHomeShootsOnTarget,HTAwayShootsOnTarget,HTHomeShootsAgainstOnTarget,HTAwayShootsAgainstOnTarget,HTShootsHitWoodwork,HTShootsAgainstHitWoodwork,HTHomeShootsHitWoodwork,HTAwayShootsHitWoodwork,HTHomeShootsAgainstHitWoodwork,HTAwayShootsAgainstHitWoodwork,HTCorners,HTCornersAgainst,HTHomeCorners,HTAwayCorners,HTHomeCornersAgainst,HTAwayCornersAgainst,HTFouls,HTFoulsReceived,HTHomeFouls,HTAwayFouls,HTHomeFoulsReceived,HTAwayFoulsReceived,HTOffsides,HTOffsidesAgainst,HTHomeOffsides,HTAwayOffsides,HTHomeOffsidesAgainst,HTAwayOffsidesAgainst,HTYellowCards,HTYellowCardsAgainst,HTHomeYellowCards,HTAwayYellowCards,HTHomeYellowCardsAgainst,HTAwayYellowCardsAgainst,HTRedCards,HTRedCardsAgainst,HTHomeRedCards,HTAwayRedCards,HTHomeRedCardsAgainst,HTAwayRedCardsAgainst,ATTeam,ATPoints,ATWins,ATDraws,ATLooses,ATHomeWins,ATHomeDraws,ATHomeLooses,ATAwayWins,ATAwayDraws,ATAwayLooses,ATGoals,ATGoalsAgainst,ATHomeGoals,ATAwayGoals,ATHomeGoalsAgainst,ATAwayGoalsAgainst,ATPosition,ATShoots,ATShootsAgainst,ATHomeShoots,ATAwayShoots,ATHomeShootsAgainst,ATAwayShootsAgainst,ATShootsOnTarget,ATShootsAgainstOnTarget,ATHomeShootsOnTarget,ATAwayShootsOnTarget,ATHomeShootsAgainstOnTarget,ATAwayShootsAgainstOnTarget,ATShootsHitWoodwork,ATShootsAgainstHitWoodwork,ATHomeShootsHitWoodwork,ATAwayShootsHitWoodwork,ATHomeShootsAgainstHitWoodwork,ATAwayShootsAgainstHitWoodwork,ATCorners,ATCornersAgainst,ATHomeCorners,ATAwayCorners,ATHomeCornersAgainst,ATAwayCornersAgainst,ATFouls,ATFoulsReceived,ATHomeFouls,ATAwayFouls,ATHomeFoulsReceived,ATAwayFoulsReceived,ATOffsides,ATOffsidesAgainst,ATHomeOffsides,ATAwayOffsides,ATHomeOffsidesAgainst,ATAwayOffsidesAgainst,ATYellowCards,ATYellowCardsAgainst,ATHomeYellowCards,ATAwayYellowCards,ATHomeYellowCardsAgainst,ATAwayYellowCardsAgainst,ATRedCards,ATRedCardsAgainst,ATHomeRedCards,ATAwayRedCards,ATHomeRedCardsAgainst,ATAwayRedCardsAgainst
SP1,23/08/15,Ath Bilbao,Barcelona,D,Ath Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,13/09/15,Ath Bilbao,Getafe,H,Ath Bilbao,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,8.0,10.0,8.0,0.0,10.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,16.0,11.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,14.0,4.0,0.0,14.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,6.0,0.0,5.0,14.0,19.0,0.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
SP1,23/09/15,Ath Bilbao,Real Madrid,A,Ath Bilbao,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,19.0,17.0,19.0,8.0,9.0,10.0,9.0,2.0,12.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,2.0,4.0,4.0,11.0,29.0,25.0,16.0,13.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,6.0,48.0,13.0,21.0,27.0,7.0,6.0,11.0,1.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,11.0,5.0,4.0,2.0,16.0,34.0,12.0,4.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,04/10/15,Ath Bilbao,Valencia,D,Ath Bilbao,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,2.0,2.0,12.0,31.0,30.0,22.0,9.0,21.0,9.0,8.0,15.0,8.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,14.0,4.0,9.0,11.0,41.0,40.0,28.0,13.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,4.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia,5.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,8.0,39.0,36.0,12.0,27.0,12.0,24.0,5.0,14.0,5.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,5.0,9.0,7.0,8.0,35.0,50.0,13.0,22.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
SP1,26/10/15,Ath Bilbao,Sp Gijon,H,Ath Bilbao,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,7.0,3.0,1.0,2.0,5.0,14.0,42.0,44.0,22.0,20.0,21.0,23.0,8.0,22.0,8.0,3.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,14.0,8.0,9.0,20.0,47.0,57.0,28.0,19.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,4.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Sp Gijon,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,11.0,33.0,75.0,22.0,11.0,44.0,31.0,8.0,21.0,8.0,6.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,7.0,7.0,11.0,14.0,67.0,36.0,36.0,31.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,7.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,08/11/15,Ath Bilbao,Espanol,H,Ath Bilbao,3.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,9.0,4.0,1.0,4.0,5.0,16.0,53.0,66.0,33.0,20.0,43.0,23.0,13.0,28.0,13.0,3.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,20.0,8.0,17.0,20.0,64.0,67.0,45.0,19.0,36.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,8.0,6.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanol,9.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,11.0,2.0,4.0,6.0,5.0,6.0,57.0,63.0,35.0,22.0,39.0,24.0,10.0,22.0,10.0,8.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,17.0,9.0,18.0,9.0,96.0,63.0,60.0,36.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,9.0,9.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
SP1,06/12/15,Ath Bilbao,Malaga,D,Ath Bilbao,4.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,5.0,9.0,4.0,1.0,4.0,5.0,17.0,62.0,80.0,33.0,29.0,43.0,37.0,13.0,32.0,13.0,5.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,41.0,20.0,10.0,17.0,24.0,83.0,82.0,45.0,38.0,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,8.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Malaga,3.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,20.0,79.0,89.0,50.0,29.0,26.0,63.0,13.0,31.0,13.0,7.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,41.0,22.0,15.0,10.0,31.0,90.0,71.0,48.0,42.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,7.0,9.0,10.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0
SP1,20/12/15,Ath Bilbao,Levante,D,Ath Bilbao,7.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,8.0,10.0,7.0,1.0,5.0,5.0,13.0,78.0,89.0,49.0,29.0,52.0,37.0,20.0,36.0,20.0,5.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,31.0,10.0,21.0,24.0,95.0,91.0,57.0,38.0,45.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,8.0,10.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Levante,6.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,6.0,12.0,5.0,1.0,5.0,7.0,17.0,76.0,88.0,52.0,24.0,36.0,52.0,13.0,33.0,13.0,9.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,21.0,8.0,19.0,11.0,99.0,98.0,52.0,47.0,65.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,10.0,8.0,14.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
SP1,03/01/16,Ath Bilbao,Las Palmas,H,Ath Bilbao,8.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0,10.0,12.0,7.0,3.0,5.0,7.0,14.0,85.0,105.0,49.0,36.0,52.0,53.0,20.0,39.0,20.0,7.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,49.0,31.0,16.0,21.0,28.0,113.0,99.0,57.0,56.0,45.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,8.0,12.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Palmas,5.0,1.0,2.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,6.0,13.0,2.0,4.0,3.0,10.0,19.0,97.0,118.0,54.0,43.0,46.0,72.0,12.0,43.0,12.0,15.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,14.0,11.0,12.0,19.0,109.0,129.0,41.0,68.0,69.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,10.0,8.0,15.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
SP1,24/01/16,Ath Bilbao,Eibar,H,Ath Bilbao,11.0,3.0,2.0,4.0,3.0,0.0,2.0,0.0,2.0,2.0,13.0,12.0,10.0,3.0,5.0,7.0,12.0,105.0,111.0,69.0,36.0,58.0,53.0,26.0,39.0,26.0,7.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,40.0,16.0,24.0,28.0,121.0,114.0,65.0,56.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,9.0,12.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Eibar,13.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,12.0,10.0,4.0,8.0,4.0,6.0,7.0,85.0,113.0,42.0,43.0,47.0,66.0,18.0,35.0,18.0,17.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,18.0,19.0,17.0,26.0,161.0,93.0,68.0,93.0,45.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,12.0,22.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0
