Div,Date,HomeTeam,AwayTeam,HTR,HTTeam,HTPoints,HTWins,HTDraws,HTLooses,HTHomeWins,HTHomeDraws,HTHomeLooses,HTAwayWins,HTAwayDraws,HTAwayLooses,HTGoals,HTGoalsAgainst,HTHomeGoals,HTAwayGoals,HTHomeGoalsAgainst,HTAwayGoalsAgainst,HTPosition,HTShoots,HTShootsAgainst,HTHomeShoots,HTAwayShoots,HTHomeShootsAgainst,HTAwayShootsAgainst,HTShootsOnTarget,HTShootsAgainstOnTarget,HTHomeShootsOnTarget,HTAwayShootsOnTarget,HTHomeShootsAgainstOnTarget,HTAwayShootsAgainstOnTarget,HTShootsHitWoodwork,HTShootsAgainstHitWoodwork,HTHomeShootsHitWoodwork,HTAwayShootsHitWoodwork,HTHomeShootsAgainstHitWoodwork,HTAwayShootsAgainstHitWoodwork,HTCorners,HTCornersAgainst,HTHomeCorners,HTAwayCorners,HTHomeCornersAgainst,HTAwayCornersAgainst,HTFouls,HTFoulsReceived,HTHomeFouls,HTAwayFouls,HTHomeFoulsReceived,HTAwayFoulsReceived,HTOffsides,HTOffsidesAgainst,HTHomeOffsides,HTAwayOffsides,HTHomeOffsidesAgainst,HTAwayOffsidesAgainst,HTYellowCards,HTYellowCardsAgainst,HTHomeYellowCards,HTAwayYellowCards,HTHomeYellowCardsAgainst,HTAwayYellowCardsAgainst,HTRedCards,HTRedCardsAgainst,HTHomeRedCards,HTAwayRedCards,HTHomeRedCardsAgainst,HTAwayRedCardsAgainst,ATTeam,ATPoints,ATWins,ATDraws,ATLooses,ATHomeWins,ATHomeDraws,ATHomeLooses,ATAwayWins,ATAwayDraws,ATAwayLooses,ATGoals,ATGoalsAgainst,ATHomeGoals,ATAwayGoals,ATHomeGoalsAgainst,ATAwayGoalsAgainst,ATPosition,ATShoots,ATShootsAgainst,ATHomeShoots,ATAwayShoots,ATHomeShootsAgainst,ATAwayShootsAgainst,ATShootsOnTarget,ATShootsAgainstOnTarget,ATHomeShootsOnTarget,ATAwayShootsOnTarget,ATHomeShootsAgainstOnTarget,ATAwayShootsAgainstOnTarget,ATShootsHitWoodwork,ATShootsAgainstHitWoodwork,ATHomeShootsHitWoodwork,ATAwayShootsHitWoodwork,ATHomeShootsAgainstHitWoodwork,ATAwayShootsAgainstHitWoodwork,ATCorners,ATCornersAgainst,ATHomeCorners,ATAwayCorners,ATHomeCornersAgainst,ATAwayCornersAgainst,ATFouls,ATFoulsReceived,ATHomeFouls,ATAwayFouls,ATHomeFoulsReceived,ATAwayFoulsReceived,ATOffsides,ATOffsidesAgainst,ATHomeOffsides,ATAwayOffsides,ATHomeOffsidesAgainst,ATAwayOffsidesAgainst,ATYellowCards,ATYellowCardsAgainst,ATHomeYellowCards,ATAwayYellowCards,ATHomeYellowCardsAgainst,ATAwayYellowCardsAgainst,ATRedCards,ATRedCardsAgainst,ATHomeRedCards,ATAwayRedCards,ATHomeRedCardsAgainst,ATAwayRedCardsAgainst
SP1,28/08/16,Alaves,Sp Gijon,D,Alaves,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp Gijon,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,19/09/16,Alaves,La Coruna,D,Alaves,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Coruna,3.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,26/09/16,Alaves,Granada,D,Alaves,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,13.0,0.0,7.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,6.0,0.0,10.0,12.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granada,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,5.0,4.0,13.0,15.0,0.0,13.0,0.0,15.0,0.0,10.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,6.0,16.0,8.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,16/10/16,Alaves,Malaga,H,Alaves,5.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,-0.5,9.0,11.5,6.5,2.5,3.5,8.0,1.0,1.5,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5,2.0,0.0,3.0,6.5,11.0,12.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Malaga,2.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,12.0,9.5,7.5,4.5,6.0,3.5,1.0,4.0,1.0,1.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.0,4.5,2.0,3.5,1.5,12.5,17.0,4.0,8.5,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,29/10/16,Alaves,Real Madrid,A,Alaves,6.0,0.3333333333333333,0.6666666666666666,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,9.0,13.0,7.333333333333333,1.6666666666666667,7.666666666666667,5.333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,8.0,2.6666666666666665,0.0,3.6666666666666665,4.333333333333333,12.666666666666666,10.666666666666666,8.666666666666666,4.0,6.666666666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,12.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.3333333333333335,0.6666666666666666,1.0,0.0,-1.6666666666666667,20.666666666666668,9.666666666666666,16.333333333333332,4.333333333333333,6.0,3.6666666666666665,7.0,2.6666666666666665,7.0,2.3333333333333335,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.333333333333333,4.333333333333333,1.6666666666666667,3.0,1.3333333333333333,10.0,14.666666666666666,7.333333333333333,2.6666666666666665,8.333333333333334,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
SP1,20/11/16,Alaves,Espanol,D,Alaves,6.0,0.25,0.5,0.25,0.0,2.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.75,0.0,0.75,0.5,8.75,12.75,5.5,3.25,5.75,7.0,0.75,1.5,0.75,1.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.75,2.0,1.0,2.75,5.0,12.75,11.5,6.5,6.25,5.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,Espanol,5.0,0.25,0.5,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,0.5,0.75,1.0,0.5,-0.25,8.0,12.0,4.5,3.5,5.5,6.5,1.0,6.0,1.0,0.75,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.25,6.75,1.75,0.5,2.25,4.5,15.75,12.75,9.75,6.0,6.25,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.5,0.75,1.5,1.0,0.0,0.0,0.0,0.25,0.0,0.0
SP1,04/12/16,Alaves,Las Palmas,H,Alaves,9.0,0.4,0.4,0.2,1.0,2.0,0.0,1.0,1.0,1.0,1.2,0.8,0.6,0.6,0.2,0.6,-0.2,10.2,12.8,7.6,2.6,7.2,5.6,1.8,1.8,1.8,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.4,7.4,2.6,0.8,3.4,4.0,13.2,13.0,8.2,5.0,7.8,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,1.4,0.8,1.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Las Palmas,10.0,0.4,0.2,0.4,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.8,1.6,0.4,0.6,1.2,1.2,8.8,16.6,5.8,3.0,10.0,6.6,3.6,5.8,3.6,1.4,3.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.6,1.6,1.0,2.2,3.4,9.2,14.2,5.2,4.0,10.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.4,2.2,1.2,0.8,0.6,0.0,0.0,0.0,0.4,0.0,0.0
SP1,16/12/16,Alaves,Betis,D,Alaves,9.0,0.4,0.2,0.4,1.0,2.0,0.0,1.0,1.0,2.0,1.4,1.2,0.6,0.8,0.2,1.0,0.2,8.8,15.4,5.0,3.8,5.8,9.6,1.4,4.0,1.4,1.2,0.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.8,1.2,2.2,5.8,13.8,12.6,6.2,7.6,5.4,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.4,1.2,2.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Betis,8.0,0.4,0.2,0.4,1.0,2.0,0.0,1.0,0.0,3.0,1.2,1.2,0.6,0.6,0.4,0.8,-0.2,11.8,16.4,6.8,5.0,6.2,10.2,2.2,6.8,2.2,2.0,2.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.6,2.6,1.8,1.6,3.0,18.6,17.6,6.6,12.0,6.4,11.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,2.2,1.8,1.8,0.0,0.0,0.2,0.0,0.2,0.2
SP1,21/01/17,Alaves,Leganes,D,Alaves,10.0,0.2,0.4,0.4,1.0,3.0,0.0,1.0,1.0,2.0,1.2,1.2,0.8,0.4,0.4,0.8,0.0,9.4,14.6,6.6,2.8,8.2,6.4,2.2,4.6,2.2,0.4,1.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.8,3.0,1.2,3.6,3.2,14.2,13.0,9.0,5.2,8.2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.0,1.8,1.8,2.0,0.8,0.0,0.0,0.2,0.0,0.2,0.0,Leganes,10.0,0.4,0.0,0.6,0.0,1.0,3.0,3.0,0.0,1.0,1.4,2.2,0.8,0.6,2.0,0.2,0.0,11.6,9.0,8.2,3.4,5.0,4.0,3.0,4.2,3.0,1.0,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.0,1.6,1.0,2.4,2.6,20.4,15.4,12.8,7.6,8.8,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.4,2.0,0.6,2.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
SP1,28/01/17,Alaves,Ath Madrid,D,Alaves,10.0,0.2,0.2,0.6,1.0,3.0,0.0,1.0,1.0,3.0,1.2,1.8,0.8,0.4,0.4,1.4,0.8,9.6,14.6,4.8,4.8,5.0,9.6,2.0,5.4,2.0,1.0,1.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,6.6,2.2,1.6,2.6,4.0,15.0,14.8,5.8,9.2,6.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.8,1.2,2.8,1.2,1.4,0.0,0.0,0.2,0.0,0.2,0.0,Ath Madrid,18.0,0.6,0.2,0.2,3.0,1.0,0.0,2.0,2.0,1.0,2.2,0.6,1.6,0.6,0.2,0.4,-0.2,14.6,12.4,7.6,7.0,3.4,9.0,3.2,4.0,3.2,3.4,0.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.2,4.2,2.4,0.6,3.6,14.0,13.2,5.4,8.6,5.4,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.2,0.4,1.8,0.6,1.4,0.0,0.0,0.0,0.2,0.2,0.0
